doi,title,container,year,authors,cited_by,issns,query_matched
10.1016/j.amc.2013.02.017,Backtracking Search Optimization Algorithm for numerical optimization problems,Applied Mathematics and Computation,2013,"Civicioglu, Pinar",567,['0096-3003'],gravitational search
10.1016/j.amc.2007.09.004,Global-best harmony search,Applied Mathematics and Computation,2008,"Omran, Mahamed G.H.; Mahdavi, Mehrdad",497,['0096-3003'],gravitational search
10.1016/j.amc.2009.02.044,A real coded genetic algorithm for solving integer and mixed integer optimization problems,Applied Mathematics and Computation,2009,"Deep, Kusum; Singh, Krishna Pratap; Kansal, M.L.",426,['0096-3003'],genetic algorithm optimization
10.1016/j.amc.2015.11.001,A hybrid PSO-GA algorithm for constrained optimization problems,Applied Mathematics and Computation,2016,"Garg, Harish",389,['0096-3003'],tidal force algorithm
10.1016/j.amc.2020.125535,A novel metaheuristic optimizer inspired by behavior of jellyfish in ocean,Applied Mathematics and Computation,2021,"Chou, Jui-Sheng; Truong, Dinh-Nhat",358,['0096-3003'],physics-inspired metaheuristic
10.1016/j.amc.2006.07.105,An effective co-evolutionary differential evolution for constrained optimization,Applied Mathematics and Computation,2007,"Huang, Fu-zhuo; Wang, Ling; He, Qie",335,['0096-3003'],differential evolution
10.1016/j.amc.2012.04.069,Training feedforward neural networks using hybrid particle swarm optimization and gravitational search algorithm,Applied Mathematics and Computation,2012,"Mirjalili, SeyedAli; Mohd Hashim, Siti Zaiton; Moradian Sardroudi, Hossein",312,['0096-3003'],gravitational search
10.1016/j.amc.2006.07.134,A hybrid particle swarm optimization with a feasibility-based rule for constrained optimization,Applied Mathematics and Computation,2007,"He, Qie; Wang, Ling",295,['0096-3003'],orbital mechanics optimization
10.1016/j.amc.2006.09.098,Particle swarm and ant colony algorithms hybridized for improved continuous optimization,Applied Mathematics and Computation,2007,"Shelokar, P.S.; Siarry, Patrick; Jayaraman, V.K.",219,['0096-3003'],particle swarm optimization
10.1016/j.amc.2006.12.045,A modified particle swarm optimizer with dynamic adaptation,Applied Mathematics and Computation,2007,"Yang, Xueming; Yuan, Jinsha; Yuan, Jiangye",215,['0096-3003'],grey wolf optimizer
10.1016/s0096-3003(02)00794-4,Solutions of the system of differential equations by differential transform method,Applied Mathematics and Computation,2004,"Ayaz, Fatma",207,['0096-3003'],differential evolution
10.1016/s0096-3003(98)10115-7,Solving partial differential equations by two-dimensional differential transform method,Applied Mathematics and Computation,1999,"Kuang Chen, Cha'o; Huei Ho, Shing",183,['0096-3003'],differential evolution
10.1016/j.amc.2010.03.114,Chaotic harmony search algorithms,Applied Mathematics and Computation,2010,"Alatas, Bilal",183,['0096-3003'],gravitational search
10.1016/j.amc.2007.03.047,An improved particle swarm optimization algorithm,Applied Mathematics and Computation,2007,"Jiang, Yan; Hu, Tiesong; Huang, ChongChao",179,['0096-3003'],particle swarm optimization
