doi,title,container,year,authors,cited_by,issns,abstract,query_matched
10.1016/j.amc.2025.129685,Reinforcement learning in evolutionary game theory: A brief review of recent developments,Applied Mathematics and Computation,2026,"Xie, Kai; Szolnoki, Attila",14,['0096-3003'],,reinforcement learning metaheuristic 2024
10.1016/j.amc.2025.129774,Adaptive fault tolerant optimal control for high-order fully actuated system and its application in spacecraft attitude tracking using reinforcement learning,Applied Mathematics and Computation,2026,"Wu, Xueqi; Sun, Wei",5,['0096-3003'],,reinforcement learning metaheuristic 2024
10.1016/j.amc.2025.129670,Investigating the evolutionary dynamics of cooperation on a dynamic network: the influence of aspiration-driven structural adaptations,Applied Mathematics and Computation,2026,"Huang, Yijie; Chen, Yanhong",4,['0096-3003'],,parameter adaptation evolutionary 2025
10.1016/j.amc.2025.129624,Augmented input-output finite time stabilization and tracking control for networked control systems via adaptive event-triggered mechanism,Applied Mathematics and Computation,2026,"Muthusamy, Vijayakumar",2,['0096-3003'],,adaptive step size optimization 2025
10.1016/j.amc.2025.129676,Hinderance of cooperation by individual solutions: Evolutionary dynamics of three-strategy games combining the prisoner’s dilemma and stag hunt,Applied Mathematics and Computation,2026,"Takesue, Hirofumi",2,['0096-3003'],,parameter adaptation evolutionary 2025
10.1016/j.amc.2025.129745,Deep neural network-based adaptive supervisory control for strict-feedback nonlinear systems with sensor and actuator faults,Applied Mathematics and Computation,2026,"Guo, Shanshan; Li, Jinghao; Yang, Guang-Hong",2,['0096-3003'],,adaptive step size optimization 2025
10.1016/j.amc.2025.129628,Fixed-time optimized control for nonlinear strict-feedback systems based on reinforcement learning and disturbance observer,Applied Mathematics and Computation,2026,"Gao, Dong-Xiang; Cui, Wen-Hua; Wu, Li-Bing",2,['0096-3003'],,reinforcement learning metaheuristic 2024
10.1016/j.amc.2025.129905,An alternating direction implicit method for 2D nonlinear Schrödinger equation with accelerated evaluation of Caputo derivative,Applied Mathematics and Computation,2026,"Dwivedi, Himanshu Kumar; Rajeev, ; Zeng, Shengda",1,['0096-3003'],,CEC 2022 benchmark evaluation
10.1016/j.amc.2025.129671,Matrix-based evaluation of the fractional Hankel transform by bessel series expansion,Applied Mathematics and Computation,2026,"Hanna, Magdy Tawfik",1,['0096-3003'],,CEC 2022 benchmark evaluation
10.1016/j.amc.2026.130032,Finite difference/deep learning scheme for tempered fractional generalized Burgers’ equations with fast evaluation of Caputo derivative,Applied Mathematics and Computation,2026,"Dwivedi, Himanshu Kumar; Peng, Yehui; Rajeev, ",1,['0096-3003'],,CEC 2022 benchmark evaluation
10.1016/j.amc.2025.129777,A two-stage parallel iteration method for nonlinear complementarity problems,Applied Mathematics and Computation,2026,"Guo, Wenxiu; Zheng, Hua; Lu, Xiaoping",1,['0096-3003'],,CEC 2022 benchmark evaluation
10.1016/j.amc.2025.129706,Learning a robust shape parameter for RBF approximation,Applied Mathematics and Computation,2026,"Han Veiga, Maria; Nassajian Mojarrad, Faezeh; Nassajian Mojarrad, Fatemeh",1,['0096-3003'],,parameter adaptation evolutionary 2025
10.1016/j.amc.2025.129933,Predefined-time adaptive neural output-feedback control with filtered compensation for switched systems via event-triggered communication,Applied Mathematics and Computation,2026,"Song, Yuhui; Wang, Huanqing; Liu, Xiaoping",1,['0096-3003'],,adaptive parameter metaheuristic 2024
10.1016/j.amc.2025.129903,Memory-based evolutionary prisoner’s dilemma game with neighbor screening mechanism,Applied Mathematics and Computation,2026,"Ma, Jinlong; Wang, Guanghui",1,['0096-3003'],,parameter adaptation evolutionary 2025
10.1016/j.amc.2026.130035,Finite-time P2P filtering for hidden Markov jump systems with adaptive memory event-triggered mechanism: A packet loss compensation strategy,Applied Mathematics and Computation,2026,"Wang, Nan; Yu, Lu",1,['0096-3003'],,Markov chain convergence optimization 2024
10.1016/j.amc.2025.129707,"The chromatic number of {P2∪P3,banner}-free graphs",Applied Mathematics and Computation,2026,"Long, Jiali; Lan, Kaiyang; Wang, Yan",1,['0096-3003'],,no free lunch theorem optimization
10.1016/j.amc.2025.129935,Hybrid PCA-PINN framework for accurate and transparent ECG arrhythmia detection,Applied Mathematics and Computation,2026,"Moaven, Fatemeh; Abbaszadeh, Mostafa",1,['0096-3003'],,hybrid metaheuristic 2024 2025
10.1016/j.amc.2025.129766,Distributed reinforcement learning-based FTC for nonlinear multi-agent systems with performance guarantees,Applied Mathematics and Computation,2026,"Cui, Lili; Xie, Xiangpeng; Zhang, Yong",1,['0096-3003'],,opposition-based learning 2024
10.1016/j.amc.2025.129726,Solving linear and nonlinear Caputo fractional differential equations with a quantum pseudo-spectral approach,Applied Mathematics and Computation,2026,"Abbasbandy, Saeid",1,['0096-3003'],,quantum-behaved particle swarm 2024
10.1016/j.amc.2026.130154,Design and convergence analysis of a new efficient iterative method for solving systems of nonlinear equations with applications in economic dynamics and physical modeling,Applied Mathematics and Computation,2026,"Erfanifar, Raziyeh; Hajarian, Masoud",0,['0096-3003'],,convergence proof evolutionary algorithm 2023
10.1016/j.amc.2025.129704,Convergence of a positivity preserving logarithmic truncated EM method for SDEs with discontinuous drift coefficients,Applied Mathematics and Computation,2026,"Haghighi, Amir",0,['0096-3003'],,Markov chain convergence optimization 2024
10.1016/j.amc.2025.129811,On the convergence rate of approximation for distribution-dependent stochastic differential equations with Hölder continuous drift,Applied Mathematics and Computation,2026,"Wang, Lixi; Li, Junping",0,['0096-3003'],,stochastic convergence global optimization 2023
10.1016/j.amc.2026.130210,L1-gain control with adjustable convergence rate for impulsive positive systems: A geometric constraint approach to pole configuration,Applied Mathematics and Computation,2026,"Wang, Xuezhen; Ma, Dazhong",0,['0096-3003'],,Markov chain convergence optimization 2024
10.1016/j.amc.2025.129899,Strong convergence and Mittag-Leffler stability of stochastic theta method for time-changed stochastic differential equations,Applied Mathematics and Computation,2026,"Chen, Jingwei; Ye, Jun; Chen, Jinwen",0,['0096-3003'],,stochastic convergence global optimization 2023
10.1016/j.amc.2026.130166,"An extrapolated hybrid framework for efficient simulation of coupled reaction-diffusion systems: Stability, convergence, and applications",Applied Mathematics and Computation,2026,"Ullah, Inayat; Xu, Yingxiang",0,['0096-3003'],,hybrid metaheuristic 2024 2025
10.1016/j.amc.2026.130157,A Lyapunov stability proof and a port-Hamiltonian physics-informed neural network for chaotic synchronization in memristive neurons,Applied Mathematics and Computation,2026,"Babaeian, Behnam; Yamakou, Marius E.",0,['0096-3003'],,convergence proof evolutionary algorithm 2023
10.1016/j.amc.2026.130086,Dynamic portfolio optimization under uncertainty: A penalty-function-based neural solver,Applied Mathematics and Computation,2026,"Mourtas, Spyridon D.",0,['0096-3003'],,Levy flight optimization 2024
10.1016/j.amc.2025.129862,An evolutionary game analysis of a dynamically switching zero-determinant strategy,Applied Mathematics and Computation,2026,"Huang, Huaihe; Ye, Ye; Bao, Wei",0,['0096-3003'],,parameter adaptation evolutionary 2025
10.1016/j.amc.2026.130021,Corrigendum to Magnetohydrodynamic instability of fluid flow in a porous channel with slip boundary conditions [J. Appl. Math. Computat. 432 (2022) 127363],Applied Mathematics and Computation,2026,"Badday, Alaa Jabbar; Harfash, Akil J.",0,['0096-3003'],,CEC 2022 benchmark evaluation
10.1016/j.amc.2026.130085,Retraction notice to “Analysis of entropy generation in AA7072-methanol and AA7072+AA7075-methanol flow near a parabolic surface” [Applied Mathematics and Computation 413 (2022) 126616],Applied Mathematics and Computation,2026,"Salahuddin, T.; Imtiaz, Ikram; Khan, Mair",0,['0096-3003'],,CEC 2022 benchmark evaluation
10.1016/j.amc.2026.129960,A robust exact Riemann solver for a laminar two-phase flow model with two layers,Applied Mathematics and Computation,2026,"Sahu, Lilu; Sekhar, T. Raja",0,['0096-3003'],,CEC 2022 benchmark evaluation
10.1016/j.amc.2025.129946,Graph-instructed neural networks for sparse grid-based discontinuity detectors,Applied Mathematics and Computation,2026,"Della Santa, Francesco; Pieraccini, Sandra",0,['0096-3003'],,CEC 2022 benchmark evaluation
10.1016/j.amc.2026.130049,"Retraction notice to “Hybrid nanofluids: Significance of gravity modulation, heat source/ sink, and magnetohydrodynamic on dynamics of micropolar fluid over an inclined surface via finite element simulation” [Applied Mathematics and Computation 419 (2022) 126878]",Applied Mathematics and Computation,2026,"Ali, Bagh; Khan, Shahid Ali; Hussein, Ahmed Kadhim",0,['0096-3003'],,CEC 2022 benchmark evaluation
10.1016/j.amc.2026.130018,Observer-based event-triggered composite anti-disturbance finite-time bounded consensus control for multi-Agent systems under switching topologies and multiple attacks,Applied Mathematics and Computation,2026,"Chen, Menghua; Yu, Shuangwei; Karimi, Hamid Reza",0,['0096-3003'],,CEC 2022 benchmark evaluation
10.1016/j.amc.2026.129974,Adaptive parameter-space refinement and Markov state models for eco-epidemiological dynamics,Applied Mathematics and Computation,2026,"Hernández-López, Eymard; Ullah, Mohammad Sharif; Wences, Giovanni",0,['0096-3003'],,Markov chain convergence optimization 2024
